,Lidar_Mean_CloudFraction,Long_LW_Mean_CloudFraction,Long_SW_Mean_CloudFraction,Mean_CloudFraction,N,Std_CloudFraction,TSI_Mean_CloudFraction,Time
0,,,,,0,,,2015-08-24 23:45:00
1,,,,,0,,,2015-08-24 23:45:00
2,,,,,0,,,2015-08-24 23:45:00
3,,,,,0,,,2015-08-24 23:45:00
4,,,,,0,,,2015-08-24 23:45:00
5,,,,,0,,,2015-08-24 23:45:00
6,,,,,0,,,2015-08-24 23:45:00
7,,,,,0,,,2015-08-24 23:45:00
8,,,,,0,,,2015-08-24 23:45:00
9,,,,,0,,,2015-08-24 23:45:00
10,,,,,0,,,2015-08-24 23:45:00
11,,,,,0,,,2015-08-24 23:45:00
12,,,,,0,,,2015-08-24 23:45:00
13,,,,,0,,,2015-08-24 23:45:00
14,,,,,0,,,2015-08-24 23:45:00
15,,,,,0,,,2015-08-24 23:45:00
16,,,,,0,,,2015-08-24 23:45:00
17,,,,,0,,,2015-08-24 23:45:00
18,,,,,0,,,2015-08-24 23:45:00
19,,,,,0,,,2015-08-24 23:45:00
20,,,,,0,,,2015-08-24 23:45:00
21,,,,,0,,,2015-08-24 23:45:00
22,,,,,0,,,2015-08-24 23:45:00
23,,,,,0,,,2015-08-24 23:45:00
24,,,,,0,,,2015-08-24 23:45:00
25,,,,,0,,,2015-08-24 23:45:00
26,,,,,0,,,2015-08-24 23:45:00
27,,,,,0,,,2015-08-24 23:45:00
28,,,,,0,,,2015-08-24 23:45:00
29,,,,,0,,,2015-08-24 23:45:00
30,,,,,0,,,2015-08-24 23:45:00
31,,,,,0,,,2015-08-24 23:45:00
32,,,,,0,,,2015-08-24 23:45:00
33,,,,,0,,,2015-08-24 23:45:00
34,,,,,0,,,2015-08-24 23:45:00
35,,,,,0,,,2015-08-24 23:45:00
36,,,,,0,,,2015-08-24 23:45:00
37,,,,,0,,,2015-08-24 23:45:00
38,,,,,0,,,2015-08-24 23:45:00
39,,,,,0,,,2015-08-24 23:45:00
40,,,,,0,,,2015-08-24 23:45:00
41,,,,,0,,,2015-08-24 23:45:00
42,,,,,0,,,2015-08-24 23:45:00
43,,,,,0,,,2015-08-24 23:45:00
44,,,,,0,,,2015-08-24 23:45:00
45,,,,,0,,,2015-08-24 23:45:00
46,,,,,0,,,2015-08-24 23:45:00
47,,,,,0,,,2015-08-24 23:45:00
48,,,,,0,,,2015-08-24 23:45:00
49,,,,,0,,,2015-08-24 23:45:00
50,,,,,0,,,2015-08-24 23:45:00
51,,,,,0,,,2015-08-24 23:45:00
52,,,,,0,,,2015-08-24 23:45:00
53,,,,,0,,,2015-08-24 23:45:00
54,,,,,0,,,2015-08-24 23:45:00
55,,,,,0,,,2015-08-24 23:45:00
56,,,,,0,,,2015-08-24 23:45:00
57,,,,,0,,,2015-08-24 23:45:00
58,,,,,0,,,2015-08-24 23:45:00
59,,,,,0,,,2015-08-24 23:45:00
60,,,,,0,,,2015-08-24 23:45:00
61,,,,,0,,,2015-08-24 23:45:00
62,,,,,0,,,2015-08-24 23:45:00
63,,,,,0,,,2015-08-24 23:45:00
64,,,,,0,,,2015-08-24 23:45:00
65,,,,,0,,,2015-08-24 23:45:00
66,,,,,0,,,2015-08-24 23:45:00
67,0.988609,0.63,0.98,0.8996522499999999,4,0.15584533291115105,1.0,2015-08-24 23:45:00
68,0.9845280000000001,0.54,1.0,0.881132,4,0.19705391209514211,1.0,2015-08-24 23:45:00
69,0.9845280000000001,0.63,1.0,0.903632,4,0.15810772995650782,1.0,2015-08-24 23:45:00
70,,,,,0,,,2015-08-24 23:45:00
71,,,,,0,,,2015-08-24 23:45:00
72,,,,,0,,,2015-08-24 23:45:00
73,,,,,0,,,2015-08-24 23:45:00
74,,,,,0,,,2015-08-24 23:45:00
75,,,,,0,,,2015-08-24 23:45:00
76,,,,,0,,,2015-08-24 23:45:00
77,,,,,0,,,2015-08-24 23:45:00
78,,,,,0,,,2015-08-24 23:45:00
79,,,,,0,,,2015-08-24 23:45:00
80,,,,,0,,,2015-08-24 23:45:00
81,,,,,0,,,2015-08-24 23:45:00
82,,,,,0,,,2015-08-24 23:45:00
83,,,,,0,,,2015-08-24 23:45:00
84,,,,,0,,,2015-08-24 23:45:00
85,,,,,0,,,2015-08-24 23:45:00
86,,,,,0,,,2015-08-24 23:45:00
87,,,,,0,,,2015-08-24 23:45:00
88,,,,,0,,,2015-08-24 23:45:00
89,,,,,0,,,2015-08-24 23:45:00
90,,,,,0,,,2015-08-24 23:45:00
91,,,,,0,,,2015-08-24 23:45:00
92,,,,,0,,,2015-08-24 23:45:00
93,,,,,0,,,2015-08-24 23:45:00
94,,,,,0,,,2015-08-24 23:45:00
95,,,,,0,,,2015-08-24 23:45:00
96,,,,,0,,,2015-08-24 23:45:00
97,,,,,0,,,2015-08-24 23:45:00
98,,,,,0,,,2015-08-24 23:45:00
99,,,,,0,,,2015-08-24 23:45:00
100,,,,,0,,,2015-08-24 23:45:00
101,,,,,0,,,2015-08-24 23:45:00
102,,,,,0,,,2015-08-24 23:45:00
103,,,,,0,,,2015-08-24 23:45:00
104,,,,,0,,,2015-08-24 23:45:00
105,,,,,0,,,2015-08-24 23:45:00
106,,,,,0,,,2015-08-24 23:45:00
